項目,年齢階級,時期,値,単位
実収入,24歳以下,2000000101,273747,円
実収入,24歳以下,2000000202,301677,円
実収入,24歳以下,2000000303,338789,円
実収入,24歳以下,2000000404,319779,円
実収入,24歳以下,2000000505,297079,円
実収入,24歳以下,2000000606,307949,円
実収入,24歳以下,2000000707,354541,円
実収入,24歳以下,2000000808,339474,円
実収入,24歳以下,2000000909,274807,円
実収入,24歳以下,2000001010,287095,円
実収入,24歳以下,2000001111,304954,円
実収入,24歳以下,2000001212,435623,円
実収入,24歳以下,2001000101,290659,円
実収入,24歳以下,2001000202,292745,円
実収入,24歳以下,2001000303,283410,円
実収入,24歳以下,2001000404,337900,円
実収入,24歳以下,2001000505,346157,円
実収入,24歳以下,2001000606,535792,円
実収入,24歳以下,2001000707,417547,円
実収入,24歳以下,2001000808,411904,円
実収入,24歳以下,2001000909,313985,円
実収入,24歳以下,2001001010,240089,円
実収入,24歳以下,2001001111,256787,円
実収入,24歳以下,2001001212,409239,円
実収入,24歳以下,2002000101,236940,円
実収入,24歳以下,2002000202,243989,円
実収入,24歳以下,2002000303,300121,円
実収入,24歳以下,2002000404,292088,円
実収入,24歳以下,2002000505,323341,円
実収入,24歳以下,2002000606,341179,円
実収入,24歳以下,2002000707,338973,円
実収入,24歳以下,2002000808,311160,円
実収入,24歳以下,2002000909,293137,円
実収入,24歳以下,2002001010,285831,円
実収入,24歳以下,2002001111,280807,円
実収入,24歳以下,2002001212,430475,円
実収入,24歳以下,2003000101,280381,円
実収入,24歳以下,2003000202,286797,円
実収入,24歳以下,2003000303,256799,円
実収入,24歳以下,2003000404,283780,円
実収入,24歳以下,2003000505,252239,円
実収入,24歳以下,2003000606,474485,円
実収入,24歳以下,2003000707,429802,円
実収入,24歳以下,2003000808,271940,円
実収入,24歳以下,2003000909,363922,円
実収入,24歳以下,2003001010,296651,円
実収入,24歳以下,2003001111,309131,円
実収入,24歳以下,2003001212,520045,円
実収入,24歳以下,2004000101,325324,円
実収入,24歳以下,2004000202,303496,円
実収入,24歳以下,2004000303,276449,円
実収入,24歳以下,2004000404,303214,円
実収入,24歳以下,2004000505,269350,円
実収入,24歳以下,2004000606,339911,円
実収入,24歳以下,2004000707,319875,円
実収入,24歳以下,2004000808,228934,円
実収入,24歳以下,2004000909,238650,円
実収入,24歳以下,2004001010,255924,円
実収入,24歳以下,2004001111,275046,円
実収入,24歳以下,2004001212,371566,円
実収入,24歳以下,2005000101,280159,円
実収入,24歳以下,2005000202,288340,円
実収入,24歳以下,2005000303,298331,円
実収入,24歳以下,2005000404,277617,円
実収入,24歳以下,2005000505,250296,円
実収入,24歳以下,2005000606,280637,円
実収入,24歳以下,2005000707,305775,円
実収入,24歳以下,2005000808,302448,円
実収入,24歳以下,2005000909,245694,円
実収入,24歳以下,2005001010,254016,円
実収入,24歳以下,2005001111,250976,円
実収入,24歳以下,2005001212,446611,円
実収入,24歳以下,2006000101,273860,円
実収入,24歳以下,2006000202,253831,円
実収入,24歳以下,2006000303,280535,円
実収入,24歳以下,2006000404,356779,円
実収入,24歳以下,2006000505,339986,円
実収入,24歳以下,2006000606,353798,円
実収入,24歳以下,2006000707,440690,円
実収入,24歳以下,2006000808,402555,円
実収入,24歳以下,2006000909,265691,円
実収入,24歳以下,2006001010,240338,円
実収入,24歳以下,2006001111,238805,円
実収入,24歳以下,2006001212,330090,円
実収入,24歳以下,2007000101,290896,円
実収入,24歳以下,2007000202,252108,円
実収入,24歳以下,2007000303,273839,円
実収入,24歳以下,2007000404,283164,円
実収入,24歳以下,2007000505,220805,円
実収入,24歳以下,2007000606,334593,円
実収入,24歳以下,2007000707,258286,円
実収入,24歳以下,2007000808,298883,円
実収入,24歳以下,2007000909,277789,円
実収入,24歳以下,2007001010,281955,円
実収入,24歳以下,2007001111,276632,円
実収入,24歳以下,2007001212,458130,円
実収入,24歳以下,2008000101,324334,円
実収入,24歳以下,2008000202,309985,円
実収入,24歳以下,2008000303,283781,円
実収入,24歳以下,2008000404,231013,円
実収入,24歳以下,2008000505,253998,円
実収入,24歳以下,2008000606,235271,円
実収入,24歳以下,2008000707,250944,円
実収入,24歳以下,2008000808,224209,円
実収入,24歳以下,2008000909,226110,円
実収入,24歳以下,2008001010,235879,円
実収入,24歳以下,2008001111,214729,円
実収入,24歳以下,2008001212,291367,円
実収入,24歳以下,2009000101,220069,円
実収入,24歳以下,2009000202,281347,円
実収入,24歳以下,2009000303,198366,円
実収入,24歳以下,2009000404,248738,円
実収入,24歳以下,2009000505,232274,円
実収入,24歳以下,2009000606,334719,円
実収入,24歳以下,2009000707,312610,円
実収入,24歳以下,2009000808,285329,円
実収入,24歳以下,2009000909,277544,円
実収入,24歳以下,2009001010,287740,円
実収入,24歳以下,2009001111,280557,円
実収入,24歳以下,2009001212,483569,円
実収入,24歳以下,2010000101,297724,円
実収入,24歳以下,2010000202,272194,円
実収入,24歳以下,2010000303,278459,円
実収入,24歳以下,2010000404,280259,円
実収入,24歳以下,2010000505,264137,円
実収入,24歳以下,2010000606,358541,円
実収入,24歳以下,2010000707,343820,円
実収入,24歳以下,2010000808,254996,円
実収入,24歳以下,2010000909,306069,円
実収入,24歳以下,2010001010,287065,円
実収入,24歳以下,2010001111,281443,円
実収入,24歳以下,2010001212,470114,円
実収入,24歳以下,2011000101,272423,円
実収入,24歳以下,2011000202,379893,円
実収入,24歳以下,2011000303,290709,円
実収入,24歳以下,2011000404,323703,円
実収入,24歳以下,2011000505,280467,円
実収入,24歳以下,2011000606,315954,円
実収入,24歳以下,2011000707,380799,円
実収入,24歳以下,2011000808,207120,円
実収入,24歳以下,2011000909,187546,円
実収入,24歳以下,2011001010,192460,円
実収入,24歳以下,2011001111,224026,円
実収入,24歳以下,2011001212,387283,円
実収入,24歳以下,2012000101,295132,円
実収入,24歳以下,2012000202,320345,円
実収入,24歳以下,2012000303,417001,円
実収入,24歳以下,2012000404,265385,円
実収入,24歳以下,2012000505,285469,円
実収入,24歳以下,2012000606,291005,円
実収入,24歳以下,2012000707,289049,円
実収入,24歳以下,2012000808,264484,円
実収入,24歳以下,2012000909,278038,円
実収入,24歳以下,2012001010,344493,円
実収入,24歳以下,2012001111,274616,円
実収入,24歳以下,2012001212,371391,円
実収入,24歳以下,2013000101,298227,円
実収入,24歳以下,2013000202,260517,円
実収入,24歳以下,2013000303,313582,円
実収入,24歳以下,2013000404,272051,円
実収入,24歳以下,2013000505,258897,円
実収入,24歳以下,2013000606,484767,円
実収入,24歳以下,2013000707,280323,円
実収入,24歳以下,2013000808,249017,円
実収入,24歳以下,2013000909,233314,円
実収入,24歳以下,2013001010,232581,円
実収入,24歳以下,2013001111,227098,円
実収入,24歳以下,2013001212,481792,円
実収入,24歳以下,2014000101,258390,円
実収入,24歳以下,2014000202,269488,円
実収入,24歳以下,2014000303,302051,円
実収入,24歳以下,2014000404,319067,円
実収入,24歳以下,2014000505,285467,円
実収入,24歳以下,2014000606,277334,円
実収入,24歳以下,2014000707,346504,円
実収入,24歳以下,2014000808,186765,円
実収入,24歳以下,2014000909,240900,円
実収入,24歳以下,2014001010,256966,円
実収入,24歳以下,2014001111,303660,円
実収入,24歳以下,2014001212,624442,円
実収入,34歳以下,2015000101,368911,円
実収入,34歳以下,2015000202,387627,円
実収入,34歳以下,2015000303,394052,円
実収入,34歳以下,2015000404,410102,円
実収入,34歳以下,2015000505,399832,円
実収入,34歳以下,2015000606,659325,円
実収入,34歳以下,2015000707,526167,円
実収入,34歳以下,2015000808,389559,円
実収入,34歳以下,2015000909,377623,円
実収入,34歳以下,2015001010,423887,円
実収入,34歳以下,2015001111,364206,円
実収入,34歳以下,2015001212,720927,円
実収入,34歳以下,2016000101,378593,円
実収入,34歳以下,2016000202,412148,円
