項目,年齢階級,時期,値,単位
通貨性預貯金,29歳以下,2002000103,108,万円
通貨性預貯金,29歳以下,2002000406,145,万円
通貨性預貯金,29歳以下,2002000709,154,万円
通貨性預貯金,29歳以下,2002001012,128,万円
通貨性預貯金,29歳以下,2003000103,116,万円
通貨性預貯金,29歳以下,2003000406,125,万円
通貨性預貯金,29歳以下,2003000709,126,万円
通貨性預貯金,29歳以下,2003001012,108,万円
通貨性預貯金,29歳以下,2004000103,121,万円
通貨性預貯金,29歳以下,2004000406,151,万円
通貨性預貯金,29歳以下,2004000709,149,万円
通貨性預貯金,29歳以下,2004001012,138,万円
通貨性預貯金,29歳以下,2005000103,152,万円
通貨性預貯金,29歳以下,2005000406,110,万円
通貨性預貯金,29歳以下,2005000709,158,万円
通貨性預貯金,29歳以下,2005001012,191,万円
通貨性預貯金,29歳以下,2006000103,135,万円
通貨性預貯金,29歳以下,2006000406,98,万円
通貨性預貯金,29歳以下,2006000709,92,万円
通貨性預貯金,29歳以下,2006001012,95,万円
通貨性預貯金,29歳以下,2007000103,122,万円
通貨性預貯金,29歳以下,2007000406,113,万円
通貨性預貯金,29歳以下,2007000709,123,万円
通貨性預貯金,29歳以下,2007001012,118,万円
通貨性預貯金,29歳以下,2008000103,112,万円
通貨性預貯金,29歳以下,2008000406,102,万円
通貨性預貯金,29歳以下,2008000709,123,万円
通貨性預貯金,29歳以下,2008001012,168,万円
通貨性預貯金,29歳以下,2009000103,176,万円
通貨性預貯金,29歳以下,2009000406,142,万円
通貨性預貯金,29歳以下,2009000709,137,万円
通貨性預貯金,29歳以下,2009001012,119,万円
通貨性預貯金,29歳以下,2010000103,123,万円
通貨性預貯金,29歳以下,2010000406,121,万円
通貨性預貯金,29歳以下,2010000709,98,万円
通貨性預貯金,29歳以下,2010001012,109,万円
通貨性預貯金,29歳以下,2011000103,142,万円
通貨性預貯金,29歳以下,2011000406,124,万円
通貨性預貯金,29歳以下,2011000709,129,万円
通貨性預貯金,29歳以下,2011001012,134,万円
通貨性預貯金,29歳以下,2012000103,126,万円
通貨性預貯金,29歳以下,2012000406,128,万円
通貨性預貯金,29歳以下,2012000709,135,万円
通貨性預貯金,29歳以下,2012001012,135,万円
通貨性預貯金,29歳以下,2013000103,118,万円
通貨性預貯金,29歳以下,2013000406,137,万円
通貨性預貯金,29歳以下,2013000709,129,万円
通貨性預貯金,29歳以下,2013001012,133,万円
通貨性預貯金,29歳以下,2014000103,132,万円
通貨性預貯金,29歳以下,2014000406,105,万円
通貨性預貯金,29歳以下,2014000709,135,万円
通貨性預貯金,29歳以下,2014001012,118,万円
通貨性預貯金,29歳以下,2015000103,96,万円
通貨性預貯金,29歳以下,2015000406,128,万円
通貨性預貯金,29歳以下,2015000709,161,万円
通貨性預貯金,29歳以下,2015001012,151,万円
通貨性預貯金,29歳以下,2016000103,154,万円
通貨性預貯金,29歳以下,2016000406,192,万円
通貨性預貯金,29歳以下,2016000709,158,万円
通貨性預貯金,29歳以下,2016001012,119,万円
通貨性預貯金,29歳以下,2017000103,160,万円
通貨性預貯金,29歳以下,2017000406,175,万円
通貨性預貯金,29歳以下,2017000709,187,万円
通貨性預貯金,29歳以下,2017001012,189,万円
通貨性預貯金,29歳以下,2018000103,195,万円
通貨性預貯金,29歳以下,2018000406,174,万円
通貨性預貯金,29歳以下,2018000709,156,万円
通貨性預貯金,29歳以下,2018001012,165,万円
通貨性預貯金,29歳以下,2019000103,180,万円
通貨性預貯金,29歳以下,2019000406,174,万円
通貨性預貯金,29歳以下,2019000709,171,万円
通貨性預貯金,29歳以下,2019001012,191,万円
通貨性預貯金,29歳以下,2020000103,191,万円
通貨性預貯金,29歳以下,2020000406,215,万円
通貨性預貯金,29歳以下,2020000709,257,万円
通貨性預貯金,29歳以下,2020001012,251,万円
通貨性預貯金,29歳以下,2021000103,229,万円
通貨性預貯金,29歳以下,2021000406,222,万円
通貨性預貯金,29歳以下,2021000709,190,万円
通貨性預貯金,29歳以下,2021001012,179,万円
通貨性預貯金,29歳以下,2022000103,266,万円
通貨性預貯金,29歳以下,2022000406,285,万円
通貨性預貯金,29歳以下,2022000709,240,万円
通貨性預貯金,29歳以下,2022001012,265,万円
通貨性預貯金,29歳以下,2023000103,259,万円
通貨性預貯金,29歳以下,2023000406,196,万円
通貨性預貯金,29歳以下,2023000709,171,万円
通貨性預貯金,29歳以下,2023001012,369,万円
通貨性預貯金,29歳以下,2024000103,419,万円
通貨性預貯金,29歳以下,2024000406,357,万円
通貨性預貯金,29歳以下,2024000709,312,万円
通貨性預貯金,29歳以下,2024001012,246,万円
通貨性預貯金,29歳以下,2025000103,186,万円
通貨性預貯金,29歳以下,2025000406,199,万円
通貨性預貯金,29歳以下,2025000709,233,万円
通貨性預貯金,29歳以下,2025001012,209,万円
通貨性預貯金,30～39歳,2002000103,126,万円
通貨性預貯金,30～39歳,2002000406,121,万円
通貨性預貯金,30～39歳,2002000709,133,万円
通貨性預貯金,30～39歳,2002001012,136,万円
通貨性預貯金,30～39歳,2003000103,133,万円
通貨性預貯金,30～39歳,2003000406,134,万円
通貨性預貯金,30～39歳,2003000709,166,万円
通貨性預貯金,30～39歳,2003001012,175,万円
通貨性預貯金,30～39歳,2004000103,167,万円
通貨性預貯金,30～39歳,2004000406,176,万円
通貨性預貯金,30～39歳,2004000709,182,万円
通貨性預貯金,30～39歳,2004001012,172,万円
通貨性預貯金,30～39歳,2005000103,163,万円
通貨性預貯金,30～39歳,2005000406,159,万円
通貨性預貯金,30～39歳,2005000709,161,万円
通貨性預貯金,30～39歳,2005001012,163,万円
通貨性預貯金,30～39歳,2006000103,163,万円
通貨性預貯金,30～39歳,2006000406,176,万円
通貨性預貯金,30～39歳,2006000709,197,万円
通貨性預貯金,30～39歳,2006001012,211,万円
通貨性預貯金,30～39歳,2007000103,195,万円
通貨性預貯金,30～39歳,2007000406,188,万円
通貨性預貯金,30～39歳,2007000709,202,万円
通貨性預貯金,30～39歳,2007001012,191,万円
通貨性預貯金,30～39歳,2008000103,184,万円
通貨性預貯金,30～39歳,2008000406,190,万円
通貨性預貯金,30～39歳,2008000709,191,万円
通貨性預貯金,30～39歳,2008001012,181,万円
通貨性預貯金,30～39歳,2009000103,195,万円
通貨性預貯金,30～39歳,2009000406,196,万円
通貨性預貯金,30～39歳,2009000709,185,万円
通貨性預貯金,30～39歳,2009001012,185,万円
通貨性預貯金,30～39歳,2010000103,201,万円
通貨性預貯金,30～39歳,2010000406,198,万円
通貨性預貯金,30～39歳,2010000709,204,万円
通貨性預貯金,30～39歳,2010001012,208,万円
通貨性預貯金,30～39歳,2011000103,197,万円
通貨性預貯金,30～39歳,2011000406,202,万円
通貨性預貯金,30～39歳,2011000709,219,万円
通貨性預貯金,30～39歳,2011001012,225,万円
通貨性預貯金,30～39歳,2012000103,211,万円
通貨性預貯金,30～39歳,2012000406,210,万円
通貨性預貯金,30～39歳,2012000709,215,万円
通貨性預貯金,30～39歳,2012001012,201,万円
通貨性預貯金,30～39歳,2013000103,204,万円
通貨性預貯金,30～39歳,2013000406,221,万円
通貨性預貯金,30～39歳,2013000709,251,万円
通貨性預貯金,30～39歳,2013001012,275,万円
通貨性預貯金,30～39歳,2014000103,265,万円
通貨性預貯金,30～39歳,2014000406,236,万円
通貨性預貯金,30～39歳,2014000709,238,万円
通貨性預貯金,30～39歳,2014001012,257,万円
通貨性預貯金,30～39歳,2015000103,245,万円
通貨性預貯金,30～39歳,2015000406,247,万円
通貨性預貯金,30～39歳,2015000709,266,万円
通貨性預貯金,30～39歳,2015001012,282,万円
通貨性預貯金,30～39歳,2016000103,291,万円
通貨性預貯金,30～39歳,2016000406,251,万円
通貨性預貯金,30～39歳,2016000709,251,万円
通貨性預貯金,30～39歳,2016001012,279,万円
通貨性預貯金,30～39歳,2017000103,292,万円
通貨性預貯金,30～39歳,2017000406,274,万円
通貨性預貯金,30～39歳,2017000709,267,万円
通貨性預貯金,30～39歳,2017001012,284,万円
通貨性預貯金,30～39歳,2018000103,273,万円
通貨性預貯金,30～39歳,2018000406,254,万円
通貨性預貯金,30～39歳,2018000709,290,万円
通貨性預貯金,30～39歳,2018001012,346,万円
通貨性預貯金,30～39歳,2019000103,369,万円
通貨性預貯金,30～39歳,2019000406,352,万円
通貨性預貯金,30～39歳,2019000709,349,万円
通貨性預貯金,30～39歳,2019001012,390,万円
通貨性預貯金,30～39歳,2020000103,385,万円
通貨性預貯金,30～39歳,2020000406,359,万円
通貨性預貯金,30～39歳,2020000709,374,万円
通貨性預貯金,30～39歳,2020001012,393,万円
通貨性預貯金,30～39歳,2021000103,416,万円
通貨性預貯金,30～39歳,2021000406,410,万円
通貨性預貯金,30～39歳,2021000709,400,万円
通貨性預貯金,30～39歳,2021001012,411,万円
通貨性預貯金,30～39歳,2022000103,402,万円
通貨性預貯金,30～39歳,2022000406,425,万円
通貨性預貯金,30～39歳,2022000709,484,万円
通貨性預貯金,30～39歳,2022001012,444,万円
通貨性預貯金,30～39歳,2023000103,457,万円
通貨性預貯金,30～39歳,2023000406,430,万円
通貨性預貯金,30～39歳,2023000709,393,万円
通貨性預貯金,30～39歳,2023001012,397,万円
通貨性預貯金,30～39歳,2024000103,438,万円
通貨性預貯金,30～39歳,2024000406,466,万円
通貨性預貯金,30～39歳,2024000709,459,万円
通貨性預貯金,30～39歳,2024001012,480,万円
通貨性預貯金,30～39歳,2025000103,531,万円
通貨性預貯金,30～39歳,2025000406,500,万円
通貨性預貯金,30～39歳,2025000709,485,万円
通貨性預貯金,30～39歳,2025001012,580,万円
通貨性預貯金,40～49歳,2002000103,136,万円
通貨性預貯金,40～49歳,2002000406,139,万円
通貨性預貯金,40～49歳,2002000709,145,万円
通貨性預貯金,40～49歳,2002001012,148,万円
通貨性預貯金,40～49歳,2003000103,162,万円
通貨性預貯金,40～49歳,2003000406,168,万円
通貨性預貯金,40～49歳,2003000709,165,万円
通貨性預貯金,40～49歳,2003001012,165,万円
通貨性預貯金,40～49歳,2004000103,172,万円
通貨性預貯金,40～49歳,2004000406,183,万円
通貨性預貯金,40～49歳,2004000709,174,万円
通貨性預貯金,40～49歳,2004001012,169,万円
通貨性預貯金,40～49歳,2005000103,184,万円
通貨性預貯金,40～49歳,2005000406,201,万円
通貨性預貯金,40～49歳,2005000709,215,万円
通貨性預貯金,40～49歳,2005001012,190,万円
通貨性預貯金,40～49歳,2006000103,171,万円
通貨性預貯金,40～49歳,2006000406,197,万円
通貨性預貯金,40～49歳,2006000709,194,万円
通貨性預貯金,40～49歳,2006001012,183,万円
通貨性預貯金,40～49歳,2007000103,184,万円
通貨性預貯金,40～49歳,2007000406,213,万円
通貨性預貯金,40～49歳,2007000709,216,万円
通貨性預貯金,40～49歳,2007001012,209,万円
通貨性預貯金,40～49歳,2008000103,192,万円
通貨性預貯金,40～49歳,2008000406,208,万円
通貨性預貯金,40～49歳,2008000709,214,万円
通貨性預貯金,40～49歳,2008001012,222,万円
通貨性預貯金,40～49歳,2009000103,222,万円
通貨性預貯金,40～49歳,2009000406,220,万円
通貨性預貯金,40～49歳,2009000709,205,万円
通貨性預貯金,40～49歳,2009001012,195,万円
通貨性預貯金,40～49歳,2010000103,228,万円
通貨性預貯金,40～49歳,2010000406,245,万円
通貨性預貯金,40～49歳,2010000709,222,万円
通貨性預貯金,40～49歳,2010001012,226,万円
通貨性預貯金,40～49歳,2011000103,226,万円
通貨性預貯金,40～49歳,2011000406,243,万円
通貨性預貯金,40～49歳,2011000709,263,万円
通貨性預貯金,40～49歳,2011001012,241,万円
通貨性預貯金,40～49歳,2012000103,257,万円
通貨性預貯金,40～49歳,2012000406,274,万円
通貨性預貯金,40～49歳,2012000709,252,万円
通貨性預貯金,40～49歳,2012001012,251,万円
通貨性預貯金,40～49歳,2013000103,259,万円
通貨性預貯金,40～49歳,2013000406,265,万円
通貨性預貯金,40～49歳,2013000709,272,万円
通貨性預貯金,40～49歳,2013001012,268,万円
通貨性預貯金,40～49歳,2014000103,282,万円
通貨性預貯金,40～49歳,2014000406,290,万円
通貨性預貯金,40～49歳,2014000709,275,万円
通貨性預貯金,40～49歳,2014001012,294,万円
通貨性預貯金,40～49歳,2015000103,309,万円
通貨性預貯金,40～49歳,2015000406,296,万円
通貨性預貯金,40～49歳,2015000709,277,万円
通貨性預貯金,40～49歳,2015001012,253,万円
通貨性預貯金,40～49歳,2016000103,271,万円
通貨性預貯金,40～49歳,2016000406,325,万円
通貨性預貯金,40～49歳,2016000709,357,万円
通貨性預貯金,40～49歳,2016001012,369,万円
通貨性預貯金,40～49歳,2017000103,344,万円
通貨性預貯金,40～49歳,2017000406,315,万円
通貨性預貯金,40～49歳,2017000709,331,万円
通貨性預貯金,40～49歳,2017001012,363,万円
通貨性預貯金,40～49歳,2018000103,366,万円
通貨性預貯金,40～49歳,2018000406,356,万円
通貨性預貯金,40～49歳,2018000709,330,万円
通貨性預貯金,40～49歳,2018001012,369,万円
通貨性預貯金,40～49歳,2019000103,398,万円
通貨性預貯金,40～49歳,2019000406,387,万円
通貨性預貯金,40～49歳,2019000709,401,万円
通貨性預貯金,40～49歳,2019001012,425,万円
通貨性預貯金,40～49歳,2020000103,417,万円
通貨性預貯金,40～49歳,2020000406,440,万円
通貨性預貯金,40～49歳,2020000709,451,万円
通貨性預貯金,40～49歳,2020001012,430,万円
通貨性預貯金,40～49歳,2021000103,445,万円
通貨性預貯金,40～49歳,2021000406,443,万円
通貨性預貯金,40～49歳,2021000709,447,万円
通貨性預貯金,40～49歳,2021001012,484,万円
通貨性預貯金,40～49歳,2022000103,490,万円
通貨性預貯金,40～49歳,2022000406,492,万円
通貨性預貯金,40～49歳,2022000709,515,万円
通貨性預貯金,40～49歳,2022001012,556,万円
通貨性預貯金,40～49歳,2023000103,549,万円
通貨性預貯金,40～49歳,2023000406,531,万円
通貨性預貯金,40～49歳,2023000709,544,万円
通貨性預貯金,40～49歳,2023001012,534,万円
通貨性預貯金,40～49歳,2024000103,565,万円
通貨性預貯金,40～49歳,2024000406,578,万円
通貨性預貯金,40～49歳,2024000709,554,万円
通貨性預貯金,40～49歳,2024001012,599,万円
通貨性預貯金,40～49歳,2025000103,595,万円
通貨性預貯金,40～49歳,2025000406,617,万円
通貨性預貯金,40～49歳,2025000709,607,万円
通貨性預貯金,40～49歳,2025001012,552,万円
通貨性預貯金,50～59歳,2002000103,224,万円
通貨性預貯金,50～59歳,2002000406,226,万円
通貨性預貯金,50～59歳,2002000709,243,万円
通貨性預貯金,50～59歳,2002001012,258,万円
通貨性預貯金,50～59歳,2003000103,261,万円
通貨性預貯金,50～59歳,2003000406,262,万円
通貨性預貯金,50～59歳,2003000709,247,万円
通貨性預貯金,50～59歳,2003001012,228,万円
通貨性預貯金,50～59歳,2004000103,233,万円
通貨性預貯金,50～59歳,2004000406,252,万円
通貨性預貯金,50～59歳,2004000709,263,万円
通貨性預貯金,50～59歳,2004001012,268,万円
通貨性預貯金,50～59歳,2005000103,269,万円
通貨性預貯金,50～59歳,2005000406,261,万円
通貨性預貯金,50～59歳,2005000709,238,万円
通貨性預貯金,50～59歳,2005001012,246,万円
通貨性預貯金,50～59歳,2006000103,272,万円
通貨性預貯金,50～59歳,2006000406,271,万円
通貨性預貯金,50～59歳,2006000709,258,万円
通貨性預貯金,50～59歳,2006001012,253,万円
通貨性預貯金,50～59歳,2007000103,262,万円
通貨性預貯金,50～59歳,2007000406,248,万円
通貨性預貯金,50～59歳,2007000709,238,万円
通貨性預貯金,50～59歳,2007001012,261,万円
通貨性預貯金,50～59歳,2008000103,278,万円
通貨性預貯金,50～59歳,2008000406,268,万円
通貨性預貯金,50～59歳,2008000709,251,万円
通貨性預貯金,50～59歳,2008001012,269,万円
通貨性預貯金,50～59歳,2009000103,310,万円
通貨性預貯金,50～59歳,2009000406,300,万円
通貨性預貯金,50～59歳,2009000709,274,万円
通貨性預貯金,50～59歳,2009001012,280,万円
通貨性預貯金,50～59歳,2010000103,299,万円
通貨性預貯金,50～59歳,2010000406,290,万円
通貨性預貯金,50～59歳,2010000709,289,万円
通貨性預貯金,50～59歳,2010001012,287,万円
通貨性預貯金,50～59歳,2011000103,250,万円
通貨性預貯金,50～59歳,2011000406,256,万円
通貨性預貯金,50～59歳,2011000709,289,万円
通貨性預貯金,50～59歳,2011001012,303,万円
通貨性預貯金,50～59歳,2012000103,342,万円
通貨性預貯金,50～59歳,2012000406,351,万円
通貨性預貯金,50～59歳,2012000709,322,万円
通貨性預貯金,50～59歳,2012001012,308,万円
通貨性預貯金,50～59歳,2013000103,327,万円
通貨性預貯金,50～59歳,2013000406,298,万円
通貨性預貯金,50～59歳,2013000709,306,万円
通貨性預貯金,50～59歳,2013001012,325,万円
通貨性預貯金,50～59歳,2014000103,343,万円
通貨性預貯金,50～59歳,2014000406,345,万円
通貨性預貯金,50～59歳,2014000709,358,万円
通貨性預貯金,50～59歳,2014001012,375,万円
通貨性預貯金,50～59歳,2015000103,420,万円
通貨性預貯金,50～59歳,2015000406,394,万円
通貨性預貯金,50～59歳,2015000709,346,万円
通貨性預貯金,50～59歳,2015001012,373,万円
通貨性預貯金,50～59歳,2016000103,409,万円
通貨性預貯金,50～59歳,2016000406,405,万円
通貨性預貯金,50～59歳,2016000709,369,万円
通貨性預貯金,50～59歳,2016001012,350,万円
通貨性預貯金,50～59歳,2017000103,371,万円
通貨性預貯金,50～59歳,2017000406,365,万円
通貨性預貯金,50～59歳,2017000709,405,万円
通貨性預貯金,50～59歳,2017001012,455,万円
通貨性預貯金,50～59歳,2018000103,455,万円
通貨性預貯金,50～59歳,2018000406,439,万円
通貨性預貯金,50～59歳,2018000709,436,万円
通貨性預貯金,50～59歳,2018001012,482,万円
通貨性預貯金,50～59歳,2019000103,466,万円
通貨性預貯金,50～59歳,2019000406,424,万円
通貨性預貯金,50～59歳,2019000709,428,万円
通貨性預貯金,50～59歳,2019001012,455,万円
通貨性預貯金,50～59歳,2020000103,457,万円
通貨性預貯金,50～59歳,2020000406,484,万円
通貨性預貯金,50～59歳,2020000709,579,万円
通貨性預貯金,50～59歳,2020001012,568,万円
通貨性預貯金,50～59歳,2021000103,546,万円
通貨性預貯金,50～59歳,2021000406,586,万円
通貨性預貯金,50～59歳,2021000709,622,万円
通貨性預貯金,50～59歳,2021001012,596,万円
通貨性預貯金,50～59歳,2022000103,555,万円
通貨性預貯金,50～59歳,2022000406,577,万円
通貨性預貯金,50～59歳,2022000709,607,万円
通貨性預貯金,50～59歳,2022001012,615,万円
通貨性預貯金,50～59歳,2023000103,602,万円
通貨性預貯金,50～59歳,2023000406,635,万円
通貨性預貯金,50～59歳,2023000709,621,万円
通貨性預貯金,50～59歳,2023001012,614,万円
通貨性預貯金,50～59歳,2024000103,590,万円
通貨性預貯金,50～59歳,2024000406,563,万円
通貨性預貯金,50～59歳,2024000709,636,万円
通貨性預貯金,50～59歳,2024001012,647,万円
通貨性預貯金,50～59歳,2025000103,601,万円
通貨性預貯金,50～59歳,2025000406,537,万円
通貨性預貯金,50～59歳,2025000709,614,万円
通貨性預貯金,50～59歳,2025001012,649,万円
通貨性預貯金,60～69歳,2002000103,308,万円
通貨性預貯金,60～69歳,2002000406,334,万円
通貨性預貯金,60～69歳,2002000709,333,万円
通貨性預貯金,60～69歳,2002001012,361,万円
通貨性預貯金,60～69歳,2003000103,366,万円
通貨性預貯金,60～69歳,2003000406,325,万円
通貨性預貯金,60～69歳,2003000709,324,万円
通貨性預貯金,60～69歳,2003001012,336,万円
通貨性預貯金,60～69歳,2004000103,338,万円
通貨性預貯金,60～69歳,2004000406,342,万円
通貨性預貯金,60～69歳,2004000709,333,万円
通貨性預貯金,60～69歳,2004001012,329,万円
通貨性預貯金,60～69歳,2005000103,355,万円
通貨性預貯金,60～69歳,2005000406,357,万円
通貨性預貯金,60～69歳,2005000709,364,万円
通貨性預貯金,60～69歳,2005001012,367,万円
通貨性預貯金,60～69歳,2006000103,354,万円
通貨性預貯金,60～69歳,2006000406,373,万円
通貨性預貯金,60～69歳,2006000709,403,万円
通貨性預貯金,60～69歳,2006001012,381,万円
通貨性預貯金,60～69歳,2007000103,371,万円
通貨性預貯金,60～69歳,2007000406,408,万円
通貨性預貯金,60～69歳,2007000709,412,万円
通貨性預貯金,60～69歳,2007001012,383,万円
通貨性預貯金,60～69歳,2008000103,397,万円
通貨性預貯金,60～69歳,2008000406,375,万円
通貨性預貯金,60～69歳,2008000709,350,万円
通貨性預貯金,60～69歳,2008001012,349,万円
通貨性預貯金,60～69歳,2009000103,365,万円
通貨性預貯金,60～69歳,2009000406,363,万円
通貨性預貯金,60～69歳,2009000709,377,万円
通貨性預貯金,60～69歳,2009001012,395,万円
通貨性預貯金,60～69歳,2010000103,435,万円
通貨性預貯金,60～69歳,2010000406,427,万円
通貨性預貯金,60～69歳,2010000709,378,万円
通貨性預貯金,60～69歳,2010001012,388,万円
通貨性預貯金,60～69歳,2011000103,422,万円
通貨性預貯金,60～69歳,2011000406,407,万円
通貨性預貯金,60～69歳,2011000709,423,万円
通貨性預貯金,60～69歳,2011001012,424,万円
通貨性預貯金,60～69歳,2012000103,394,万円
通貨性預貯金,60～69歳,2012000406,395,万円
通貨性預貯金,60～69歳,2012000709,406,万円
通貨性預貯金,60～69歳,2012001012,405,万円
通貨性預貯金,60～69歳,2013000103,421,万円
通貨性預貯金,60～69歳,2013000406,469,万円
通貨性預貯金,60～69歳,2013000709,473,万円
通貨性預貯金,60～69歳,2013001012,462,万円
通貨性預貯金,60～69歳,2014000103,445,万円
通貨性預貯金,60～69歳,2014000406,456,万円
通貨性預貯金,60～69歳,2014000709,495,万円
通貨性預貯金,60～69歳,2014001012,524,万円
通貨性預貯金,60～69歳,2015000103,496,万円
通貨性預貯金,60～69歳,2015000406,476,万円
通貨性預貯金,60～69歳,2015000709,485,万円
通貨性預貯金,60～69歳,2015001012,477,万円
通貨性預貯金,60～69歳,2016000103,486,万円
通貨性預貯金,60～69歳,2016000406,498,万円
通貨性預貯金,60～69歳,2016000709,496,万円
通貨性預貯金,60～69歳,2016001012,494,万円
通貨性預貯金,60～69歳,2017000103,494,万円
通貨性預貯金,60～69歳,2017000406,508,万円
通貨性預貯金,60～69歳,2017000709,586,万円
通貨性預貯金,60～69歳,2017001012,596,万円
通貨性預貯金,60～69歳,2018000103,560,万円
通貨性預貯金,60～69歳,2018000406,568,万円
通貨性預貯金,60～69歳,2018000709,567,万円
通貨性預貯金,60～69歳,2018001012,562,万円
通貨性預貯金,60～69歳,2019000103,587,万円
通貨性預貯金,60～69歳,2019000406,560,万円
通貨性預貯金,60～69歳,2019000709,585,万円
通貨性預貯金,60～69歳,2019001012,595,万円
通貨性預貯金,60～69歳,2020000103,601,万円
通貨性預貯金,60～69歳,2020000406,666,万円
通貨性預貯金,60～69歳,2020000709,670,万円
通貨性預貯金,60～69歳,2020001012,740,万円
通貨性預貯金,60～69歳,2021000103,785,万円
通貨性預貯金,60～69歳,2021000406,728,万円
通貨性預貯金,60～69歳,2021000709,723,万円
通貨性預貯金,60～69歳,2021001012,716,万円
通貨性預貯金,60～69歳,2022000103,758,万円
通貨性預貯金,60～69歳,2022000406,789,万円
通貨性預貯金,60～69歳,2022000709,819,万円
通貨性預貯金,60～69歳,2022001012,802,万円
通貨性預貯金,60～69歳,2023000103,861,万円
通貨性預貯金,60～69歳,2023000406,856,万円
通貨性預貯金,60～69歳,2023000709,831,万円
通貨性預貯金,60～69歳,2023001012,782,万円
通貨性預貯金,60～69歳,2024000103,830,万円
通貨性預貯金,60～69歳,2024000406,895,万円
通貨性預貯金,60～69歳,2024000709,890,万円
通貨性預貯金,60～69歳,2024001012,916,万円
通貨性預貯金,60～69歳,2025000103,924,万円
通貨性預貯金,60～69歳,2025000406,868,万円
通貨性預貯金,60～69歳,2025000709,894,万円
通貨性預貯金,60～69歳,2025001012,874,万円
通貨性預貯金,70歳以上,2002000103,360,万円
通貨性預貯金,70歳以上,2002000406,384,万円
通貨性預貯金,70歳以上,2002000709,376,万円
通貨性預貯金,70歳以上,2002001012,354,万円
通貨性預貯金,70歳以上,2003000103,373,万円
通貨性預貯金,70歳以上,2003000406,364,万円
通貨性預貯金,70歳以上,2003000709,394,万円
通貨性預貯金,70歳以上,2003001012,402,万円
通貨性預貯金,70歳以上,2004000103,345,万円
通貨性預貯金,70歳以上,2004000406,366,万円
通貨性預貯金,70歳以上,2004000709,382,万円
通貨性預貯金,70歳以上,2004001012,375,万円
通貨性預貯金,70歳以上,2005000103,372,万円
通貨性預貯金,70歳以上,2005000406,332,万円
通貨性預貯金,70歳以上,2005000709,350,万円
通貨性預貯金,70歳以上,2005001012,398,万円
通貨性預貯金,70歳以上,2006000103,416,万円
通貨性預貯金,70歳以上,2006000406,395,万円
通貨性預貯金,70歳以上,2006000709,405,万円
通貨性預貯金,70歳以上,2006001012,386,万円
通貨性預貯金,70歳以上,2007000103,391,万円
通貨性預貯金,70歳以上,2007000406,416,万円
通貨性預貯金,70歳以上,2007000709,389,万円
通貨性預貯金,70歳以上,2007001012,395,万円
通貨性預貯金,70歳以上,2008000103,430,万円
通貨性預貯金,70歳以上,2008000406,407,万円
通貨性預貯金,70歳以上,2008000709,383,万円
通貨性預貯金,70歳以上,2008001012,383,万円
通貨性預貯金,70歳以上,2009000103,407,万円
通貨性預貯金,70歳以上,2009000406,389,万円
通貨性預貯金,70歳以上,2009000709,364,万円
通貨性預貯金,70歳以上,2009001012,375,万円
通貨性預貯金,70歳以上,2010000103,401,万円
通貨性預貯金,70歳以上,2010000406,385,万円
通貨性預貯金,70歳以上,2010000709,374,万円
