項目,年間収入階級,時期,値,単位
年間収入,200万円未満,2002000103,150,万円
年間収入,200万円未満,2002000406,154,万円
年間収入,200万円未満,2002000709,158,万円
年間収入,200万円未満,2002001012,154,万円
年間収入,200万円未満,2003000103,157,万円
年間収入,200万円未満,2003000406,159,万円
年間収入,200万円未満,2003000709,160,万円
年間収入,200万円未満,2003001012,154,万円
年間収入,200万円未満,2004000103,154,万円
年間収入,200万円未満,2004000406,160,万円
年間収入,200万円未満,2004000709,164,万円
年間収入,200万円未満,2004001012,161,万円
年間収入,200万円未満,2005000103,160,万円
年間収入,200万円未満,2005000406,157,万円
年間収入,200万円未満,2005000709,160,万円
年間収入,200万円未満,2005001012,158,万円
年間収入,200万円未満,2006000103,158,万円
年間収入,200万円未満,2006000406,162,万円
年間収入,200万円未満,2006000709,158,万円
年間収入,200万円未満,2006001012,156,万円
年間収入,200万円未満,2007000103,160,万円
年間収入,200万円未満,2007000406,160,万円
年間収入,200万円未満,2007000709,161,万円
年間収入,200万円未満,2007001012,162,万円
年間収入,200万円未満,2008000103,160,万円
年間収入,200万円未満,2008000406,155,万円
年間収入,200万円未満,2008000709,156,万円
年間収入,200万円未満,2008001012,156,万円
年間収入,200万円未満,2009000103,157,万円
年間収入,200万円未満,2009000406,161,万円
年間収入,200万円未満,2009000709,160,万円
年間収入,200万円未満,2009001012,160,万円
年間収入,200万円未満,2010000103,160,万円
年間収入,200万円未満,2010000406,162,万円
年間収入,200万円未満,2010000709,158,万円
年間収入,200万円未満,2010001012,157,万円
年間収入,200万円未満,2011000103,160,万円
年間収入,200万円未満,2011000406,164,万円
年間収入,200万円未満,2011000709,158,万円
年間収入,200万円未満,2011001012,155,万円
年間収入,200万円未満,2012000103,160,万円
年間収入,200万円未満,2012000406,160,万円
年間収入,200万円未満,2012000709,157,万円
年間収入,200万円未満,2012001012,160,万円
年間収入,200万円未満,2013000103,159,万円
年間収入,200万円未満,2013000406,159,万円
年間収入,200万円未満,2013000709,163,万円
年間収入,200万円未満,2013001012,163,万円
年間収入,200万円未満,2014000103,157,万円
年間収入,200万円未満,2014000406,155,万円
年間収入,200万円未満,2014000709,159,万円
年間収入,200万円未満,2014001012,162,万円
年間収入,200万円未満,2015000103,157,万円
年間収入,200万円未満,2015000406,157,万円
年間収入,200万円未満,2015000709,158,万円
年間収入,200万円未満,2015001012,157,万円
年間収入,200万円未満,2016000103,154,万円
年間収入,200万円未満,2016000406,154,万円
年間収入,200万円未満,2016000709,154,万円
年間収入,200万円未満,2016001012,156,万円
年間収入,200万円未満,2017000103,154,万円
年間収入,200万円未満,2017000406,153,万円
年間収入,200万円未満,2017000709,155,万円
年間収入,200万円未満,2017001012,153,万円
年間収入,200万円未満,2018000103,152,万円
年間収入,200万円未満,2018000406,155,万円
年間収入,200万円未満,2018000709,157,万円
年間収入,200万円未満,2018001012,157,万円
年間収入,200万円未満,2019000103,158,万円
年間収入,200万円未満,2019000406,158,万円
年間収入,200万円未満,2019000709,151,万円
年間収入,200万円未満,2019001012,149,万円
年間収入,200万円未満,2020000103,150,万円
年間収入,200万円未満,2020000406,151,万円
年間収入,200万円未満,2020000709,154,万円
年間収入,200万円未満,2020001012,152,万円
年間収入,200万円未満,2021000103,147,万円
年間収入,200万円未満,2021000406,151,万円
年間収入,200万円未満,2021000709,152,万円
年間収入,200万円未満,2021001012,147,万円
年間収入,200万円未満,2022000103,144,万円
年間収入,200万円未満,2022000406,155,万円
年間収入,200万円未満,2022000709,160,万円
年間収入,200万円未満,2022001012,155,万円
年間収入,200万円未満,2023000103,156,万円
年間収入,200万円未満,2023000406,154,万円
年間収入,200万円未満,2023000709,154,万円
年間収入,200万円未満,2023001012,150,万円
年間収入,200万円未満,2024000103,150,万円
年間収入,200万円未満,2024000406,155,万円
年間収入,200万円未満,2024000709,159,万円
年間収入,200万円未満,2024001012,159,万円
年間収入,200万円未満,2025000103,154,万円
年間収入,200万円未満,2025000406,153,万円
年間収入,200万円未満,2025000709,151,万円
年間収入,200万円未満,2025001012,154,万円
年間収入,200～250万円,2002000103,225,万円
年間収入,200～250万円,2002000406,226,万円
年間収入,200～250万円,2002000709,225,万円
年間収入,200～250万円,2002001012,225,万円
年間収入,200～250万円,2003000103,224,万円
年間収入,200～250万円,2003000406,226,万円
年間収入,200～250万円,2003000709,226,万円
年間収入,200～250万円,2003001012,225,万円
年間収入,200～250万円,2004000103,225,万円
年間収入,200～250万円,2004000406,226,万円
年間収入,200～250万円,2004000709,226,万円
年間収入,200～250万円,2004001012,225,万円
年間収入,200～250万円,2005000103,224,万円
年間収入,200～250万円,2005000406,226,万円
年間収入,200～250万円,2005000709,227,万円
年間収入,200～250万円,2005001012,227,万円
年間収入,200～250万円,2006000103,224,万円
年間収入,200～250万円,2006000406,224,万円
年間収入,200～250万円,2006000709,225,万円
年間収入,200～250万円,2006001012,225,万円
年間収入,200～250万円,2007000103,225,万円
年間収入,200～250万円,2007000406,223,万円
年間収入,200～250万円,2007000709,224,万円
年間収入,200～250万円,2007001012,223,万円
年間収入,200～250万円,2008000103,224,万円
年間収入,200～250万円,2008000406,226,万円
年間収入,200～250万円,2008000709,228,万円
年間収入,200～250万円,2008001012,227,万円
年間収入,200～250万円,2009000103,227,万円
年間収入,200～250万円,2009000406,227,万円
年間収入,200～250万円,2009000709,226,万円
年間収入,200～250万円,2009001012,226,万円
年間収入,200～250万円,2010000103,227,万円
年間収入,200～250万円,2010000406,226,万円
年間収入,200～250万円,2010000709,225,万円
年間収入,200～250万円,2010001012,224,万円
年間収入,200～250万円,2011000103,225,万円
年間収入,200～250万円,2011000406,226,万円
年間収入,200～250万円,2011000709,225,万円
年間収入,200～250万円,2011001012,226,万円
年間収入,200～250万円,2012000103,226,万円
年間収入,200～250万円,2012000406,223,万円
年間収入,200～250万円,2012000709,224,万円
年間収入,200～250万円,2012001012,225,万円
年間収入,200～250万円,2013000103,225,万円
年間収入,200～250万円,2013000406,225,万円
年間収入,200～250万円,2013000709,225,万円
年間収入,200～250万円,2013001012,225,万円
年間収入,200～250万円,2014000103,224,万円
年間収入,200～250万円,2014000406,224,万円
年間収入,200～250万円,2014000709,223,万円
年間収入,200～250万円,2014001012,223,万円
年間収入,200～250万円,2015000103,223,万円
年間収入,200～250万円,2015000406,225,万円
年間収入,200～250万円,2015000709,228,万円
年間収入,200～250万円,2015001012,226,万円
年間収入,200～250万円,2016000103,225,万円
年間収入,200～250万円,2016000406,226,万円
年間収入,200～250万円,2016000709,226,万円
年間収入,200～250万円,2016001012,227,万円
年間収入,200～250万円,2017000103,227,万円
年間収入,200～250万円,2017000406,225,万円
年間収入,200～250万円,2017000709,226,万円
年間収入,200～250万円,2017001012,226,万円
年間収入,200～250万円,2018000103,226,万円
年間収入,200～250万円,2018000406,224,万円
年間収入,200～250万円,2018000709,224,万円
年間収入,200～250万円,2018001012,226,万円
年間収入,200～250万円,2019000103,228,万円
年間収入,200～250万円,2019000406,226,万円
年間収入,200～250万円,2019000709,226,万円
年間収入,200～250万円,2019001012,227,万円
年間収入,200～250万円,2020000103,226,万円
年間収入,200～250万円,2020000406,227,万円
年間収入,200～250万円,2020000709,227,万円
年間収入,200～250万円,2020001012,225,万円
年間収入,200～250万円,2021000103,224,万円
年間収入,200～250万円,2021000406,224,万円
