貯蓄現在高階級,年,世帯数分布
1000～1200万円,2002,639
100万円未満,2002,756
100～200万円,2002,545
1200～1400万円,2002,536
1400～1600万円,2002,440
1600～1800万円,2002,406
1800～2000万円,2002,295
2000～2500万円,2002,636
200～300万円,2002,558
2500～3000万円,2002,465
3000～4000万円,2002,589
300～400万円,2002,531
4000万円以上,2002,988
400～500万円,2002,476
500～600万円,2002,484
600～700万円,2002,454
700～800万円,2002,441
800～900万円,2002,400
900～1000万円,2002,362
1000～1200万円,2003,607
100万円未満,2003,785
100～200万円,2003,541
1200～1400万円,2003,527
1400～1600万円,2003,468
1600～1800万円,2003,365
1800～2000万円,2003,309
2000～2500万円,2003,650
200～300万円,2003,511
2500～3000万円,2003,487
3000～4000万円,2003,590
300～400万円,2003,487
4000万円以上,2003,991
400～500万円,2003,495
500～600万円,2003,499
600～700万円,2003,506
700～800万円,2003,436
800～900万円,2003,387
900～1000万円,2003,357
1000～1200万円,2004,671
100万円未満,2004,829
100～200万円,2004,548
1200～1400万円,2004,496
1400～1600万円,2004,447
1600～1800万円,2004,341
1800～2000万円,2004,333
2000～2500万円,2004,626
200～300万円,2004,546
2500～3000万円,2004,462
3000～4000万円,2004,642
300～400万円,2004,532
4000万円以上,2004,992
400～500万円,2004,481
500～600万円,2004,435
600～700万円,2004,469
700～800万円,2004,421
800～900万円,2004,376
900～1000万円,2004,355
1000～1200万円,2005,617
100万円未満,2005,886
100～200万円,2005,525
1200～1400万円,2005,509
1400～1600万円,2005,450
1600～1800万円,2005,350
1800～2000万円,2005,304
2000～2500万円,2005,667
200～300万円,2005,506
2500～3000万円,2005,486
3000～4000万円,2005,617
300～400万円,2005,559
4000万円以上,2005,1071
400～500万円,2005,487
500～600万円,2005,462
600～700万円,2005,415
700～800万円,2005,403
800～900万円,2005,389
900～1000万円,2005,299
1000～1200万円,2006,579
100万円未満,2006,1000
100～200万円,2006,577
1200～1400万円,2006,481
1400～1600万円,2006,449
1600～1800万円,2006,309
1800～2000万円,2006,287
2000～2500万円,2006,636
200～300万円,2006,540
2500～3000万円,2006,418
3000～4000万円,2006,621
300～400万円,2006,504
4000万円以上,2006,1126
400～500万円,2006,466
500～600万円,2006,490
600～700万円,2006,432
700～800万円,2006,420
800～900万円,2006,363
900～1000万円,2006,302
1000～1200万円,2007,603
100万円未満,2007,934
100～200万円,2007,546
1200～1400万円,2007,471
1400～1600万円,2007,428
1600～1800万円,2007,369
1800～2000万円,2007,274
2000～2500万円,2007,594
200～300万円,2007,574
2500～3000万円,2007,481
3000～4000万円,2007,670
300～400万円,2007,521
4000万円以上,2007,1051
400～500万円,2007,493
500～600万円,2007,478
600～700万円,2007,445
700～800万円,2007,385
800～900万円,2007,353
900～1000万円,2007,327
1000～1200万円,2008,571
100万円未満,2008,1067
100～200万円,2008,578
1200～1400万円,2008,471
1400～1600万円,2008,412
1600～1800万円,2008,334
1800～2000万円,2008,304
2000～2500万円,2008,639
200～300万円,2008,555
2500～3000万円,2008,452
3000～4000万円,2008,604
300～400万円,2008,518
4000万円以上,2008,1045
400～500万円,2008,478
500～600万円,2008,487
600～700万円,2008,453
700～800万円,2008,374
800～900万円,2008,333
900～1000万円,2008,326
1000～1200万円,2009,625
100万円未満,2009,1066
100～200万円,2009,610
1200～1400万円,2009,469
1400～1600万円,2009,378
1600～1800万円,2009,329
1800～2000万円,2009,299
2000～2500万円,2009,620
200～300万円,2009,566
2500～3000万円,2009,451
3000～4000万円,2009,612
300～400万円,2009,521
4000万円以上,2009,995
400～500万円,2009,516
500～600万円,2009,444
600～700万円,2009,419
700～800万円,2009,367
800～900万円,2009,369
900～1000万円,2009,341
1000～1200万円,2010,592
100万円未満,2010,1130
100～200万円,2010,564
1200～1400万円,2010,445
1400～1600万円,2010,408
1600～1800万円,2010,347
1800～2000万円,2010,296
2000～2500万円,2010,638
200～300万円,2010,562
2500～3000万円,2010,473
3000～4000万円,2010,602
300～400万円,2010,561
4000万円以上,2010,1022
400～500万円,2010,455
500～600万円,2010,497
600～700万円,2010,400
700～800万円,2010,348
800～900万円,2010,351
900～1000万円,2010,308
1000～1200万円,2011,592
100万円未満,2011,1125
100～200万円,2011,620
