項目,年齢階級,年間収入階級,値,単位
集計世帯数,30歳未満,平均,1050.0,
集計世帯数,30～39,平均,5980.0,
集計世帯数,40～49,平均,11100.0,
集計世帯数,50～59,平均,11320.0,
集計世帯数,60～69,平均,13950.0,
集計世帯数,70歳以上,平均,18600.0,
世帯数分布,30歳未満,平均,989671.0,
世帯数分布,30～39,平均,3869681.0,
世帯数分布,40～49,平均,6174306.0,
世帯数分布,50～59,平均,5899999.0,
世帯数分布,60～69,平均,6400334.0,
世帯数分布,70歳以上,平均,9302760.0,
世帯数分布,30歳未満,100万円未満,7209.0,
世帯数分布,30～39,100万円未満,14980.0,
世帯数分布,40～49,100万円未満,43521.0,
世帯数分布,50～59,100万円未満,30377.0,
世帯数分布,60～69,100万円未満,49507.0,
世帯数分布,70歳以上,100万円未満,103499.0,
世帯数分布,30歳未満,100～150万円,23394.0,
世帯数分布,30～39,100～150万円,38704.0,
世帯数分布,40～49,100～150万円,77383.0,
世帯数分布,50～59,100～150万円,68435.0,
世帯数分布,60～69,100～150万円,87776.0,
世帯数分布,70歳以上,100～150万円,218906.0,
世帯数分布,30歳未満,150～200万円,19831.0,
世帯数分布,30～39,150～200万円,40674.0,
世帯数分布,40～49,150～200万円,110511.0,
世帯数分布,50～59,150～200万円,105062.0,
世帯数分布,60～69,150～200万円,165600.0,
世帯数分布,70歳以上,150～200万円,453417.0,
世帯数分布,30歳未満,200～250万円,44535.0,
世帯数分布,30～39,200～250万円,102789.0,
世帯数分布,40～49,200～250万円,144160.0,
世帯数分布,50～59,200～250万円,135029.0,
世帯数分布,60～69,200～250万円,248436.0,
世帯数分布,70歳以上,200～250万円,609249.0,
世帯数分布,30歳未満,250～300万円,45495.0,
世帯数分布,30～39,250～300万円,89601.0,
世帯数分布,40～49,250～300万円,123604.0,
世帯数分布,50～59,250～300万円,134309.0,
世帯数分布,60～69,250～300万円,368220.0,
世帯数分布,70歳以上,250～300万円,1011358.0,
世帯数分布,30歳未満,300～350万円,62884.0,
世帯数分布,30～39,300～350万円,153141.0,
世帯数分布,40～49,300～350万円,188787.0,
世帯数分布,50～59,300～350万円,167252.0,
世帯数分布,60～69,300～350万円,444993.0,
世帯数分布,70歳以上,300～350万円,1190992.0,
世帯数分布,30歳未満,350～400万円,62787.0,
世帯数分布,30～39,350～400万円,191149.0,
世帯数分布,40～49,350～400万円,239804.0,
世帯数分布,50～59,350～400万円,181493.0,
世帯数分布,60～69,350～400万円,455408.0,
世帯数分布,70歳以上,350～400万円,1014691.0,
世帯数分布,30歳未満,400～450万円,108282.0,
世帯数分布,30～39,400～450万円,252186.0,
世帯数分布,40～49,400～450万円,340124.0,
世帯数分布,50～59,400～450万円,210486.0,
世帯数分布,60～69,400～450万円,455580.0,
世帯数分布,70歳以上,400～450万円,763890.0,
世帯数分布,30歳未満,450～500万円,101848.0,
世帯数分布,30～39,450～500万円,280350.0,
世帯数分布,40～49,450～500万円,280322.0,
世帯数分布,50～59,450～500万円,224314.0,
世帯数分布,60～69,450～500万円,439095.0,
世帯数分布,70歳以上,450～500万円,610779.0,
世帯数分布,30歳未満,500～550万円,77271.0,
世帯数分布,30～39,500～550万円,345157.0,
世帯数分布,40～49,500～550万円,370275.0,
世帯数分布,50～59,500～550万円,274356.0,
世帯数分布,60～69,500～550万円,433867.0,
世帯数分布,70歳以上,500～550万円,492356.0,
世帯数分布,30歳未満,550～600万円,63355.0,
世帯数分布,30～39,550～600万円,294936.0,
世帯数分布,40～49,550～600万円,397730.0,
世帯数分布,50～59,550～600万円,255307.0,
世帯数分布,60～69,550～600万円,361233.0,
世帯数分布,70歳以上,550～600万円,391818.0,
世帯数分布,30歳未満,600～650万円,81575.0,
世帯数分布,30～39,600～650万円,334509.0,
世帯数分布,40～49,600～650万円,463099.0,
世帯数分布,50～59,600～650万円,318000.0,
世帯数分布,60～69,600～650万円,347361.0,
世帯数分布,70歳以上,600～650万円,310265.0,
世帯数分布,30歳未満,650～700万円,48527.0,
世帯数分布,30～39,650～700万円,260212.0,
世帯数分布,40～49,650～700万円,360861.0,
世帯数分布,50～59,650～700万円,263895.0,
世帯数分布,60～69,650～700万円,273136.0,
世帯数分布,70歳以上,650～700万円,268762.0,
世帯数分布,30歳未満,700～750万円,41502.0,
世帯数分布,30～39,700～750万円,254702.0,
世帯数分布,40～49,700～750万円,402217.0,
世帯数分布,50～59,700～750万円,317674.0,
世帯数分布,60～69,700～750万円,280588.0,
世帯数分布,70歳以上,700～750万円,223824.0,
世帯数分布,30歳未満,750～800万円,44682.0,
世帯数分布,30～39,750～800万円,193582.0,
世帯数分布,40～49,750～800万円,314640.0,
世帯数分布,50～59,750～800万円,270222.0,
世帯数分布,60～69,750～800万円,230851.0,
世帯数分布,70歳以上,750～800万円,229076.0,
世帯数分布,30歳未満,800～850万円,47998.0,
世帯数分布,30～39,800～850万円,184897.0,
世帯数分布,40～49,800～850万円,371108.0,
世帯数分布,50～59,800～850万円,296210.0,
世帯数分布,60～69,800～850万円,231203.0,
世帯数分布,70歳以上,800～850万円,188680.0,
世帯数分布,30歳未満,850～900万円,16427.0,
世帯数分布,30～39,850～900万円,160757.0,
世帯数分布,40～49,850～900万円,261894.0,
世帯数分布,50～59,850～900万円,250652.0,
世帯数分布,60～69,850～900万円,189310.0,
世帯数分布,70歳以上,850～900万円,162207.0,
世帯数分布,30歳未満,900～950万円,36428.0,
世帯数分布,30～39,900～950万円,123274.0,
世帯数分布,40～49,900～950万円,262345.0,
世帯数分布,50～59,900～950万円,300022.0,
世帯数分布,60～69,900～950万円,147017.0,
世帯数分布,70歳以上,900～950万円,121329.0,
世帯数分布,30歳未満,950～1000万円,16956.0,
世帯数分布,30～39,950～1000万円,79422.0,
世帯数分布,40～49,950～1000万円,173837.0,
世帯数分布,50～59,950～1000万円,208623.0,
世帯数分布,60～69,950～1000万円,135562.0,
世帯数分布,70歳以上,950～1000万円,119929.0,
