項目,世帯区分,年間収入五分位,時期,値,単位
実収入,勤労者世帯,年収五分位1,2000000103,222717,円
実収入,勤労者世帯,年収五分位1,2000000406,253067,円
実収入,勤労者世帯,年収五分位1,2000000709,240579,円
実収入,勤労者世帯,年収五分位1,2000001012,284749,円
実収入,勤労者世帯,年収五分位1,2001000103,215802,円
実収入,勤労者世帯,年収五分位1,2001000406,262525,円
実収入,勤労者世帯,年収五分位1,2001000709,233100,円
実収入,勤労者世帯,年収五分位1,2001001012,266313,円
実収入,勤労者世帯,年収五分位1,2002000103,219372,円
実収入,勤労者世帯,年収五分位1,2002000406,238704,円
実収入,勤労者世帯,年収五分位1,2002000709,235540,円
実収入,勤労者世帯,年収五分位1,2002001012,255819,円
実収入,勤労者世帯,年収五分位1,2003000103,211720,円
実収入,勤労者世帯,年収五分位1,2003000406,240884,円
実収入,勤労者世帯,年収五分位1,2003000709,224731,円
実収入,勤労者世帯,年収五分位1,2003001012,270826,円
実収入,勤労者世帯,年収五分位1,2004000103,216589,円
実収入,勤労者世帯,年収五分位1,2004000406,247496,円
実収入,勤労者世帯,年収五分位1,2004000709,226881,円
実収入,勤労者世帯,年収五分位1,2004001012,267222,円
実収入,勤労者世帯,年収五分位1,2005000103,216278,円
実収入,勤労者世帯,年収五分位1,2005000406,230735,円
実収入,勤労者世帯,年収五分位1,2005000709,225280,円
実収入,勤労者世帯,年収五分位1,2005001012,258484,円
実収入,勤労者世帯,年収五分位1,2006000103,212208,円
実収入,勤労者世帯,年収五分位1,2006000406,233261,円
実収入,勤労者世帯,年収五分位1,2006000709,223655,円
実収入,勤労者世帯,年収五分位1,2006001012,260243,円
実収入,勤労者世帯,年収五分位1,2007000103,217158,円
実収入,勤労者世帯,年収五分位1,2007000406,241483,円
実収入,勤労者世帯,年収五分位1,2007000709,224639,円
実収入,勤労者世帯,年収五分位1,2007001012,279836,円
実収入,勤労者世帯,年収五分位1,2008000103,230361,円
実収入,勤労者世帯,年収五分位1,2008000406,244073,円
実収入,勤労者世帯,年収五分位1,2008000709,238567,円
実収入,勤労者世帯,年収五分位1,2008001012,268290,円
実収入,勤労者世帯,年収五分位1,2009000103,207373,円
実収入,勤労者世帯,年収五分位1,2009000406,242762,円
実収入,勤労者世帯,年収五分位1,2009000709,225302,円
実収入,勤労者世帯,年収五分位1,2009001012,259186,円
